ID,Reported_Day,prod_cat,Country,Detailed_Description,Priority,Impact,Incident_Type,Reported_Source,Target
INC000014022289,3,prod_cat -1,Country-1,hi since recruiter lead permission approve requisitions makes please make thanks recruiter,Low,4-Minor,Incident_Type-1,Phone,Target-1
INC000014020236,3,prod_cat -2,Country-1,re expire days hi ask help update passwords colleagues thank pm expire days importance high hi received about expiration please kindly help prolongation best regards pm expire days importance high dear expire days order change please follow steps prerequisites disable device credentials close active connected by cable machine note also follow steps detailed press ctrl alt delete same pops change item enter format enter enter newly chosen then re enter again submit displaying has changed os machine browse enter format enter gear icon top tight browser window enter enter newly chosen then re enter again save connected note complete resources granted once connected by cable browse tick want change after logging enter format enter log enter enter newly chosen then re enter again change clients suppliers about expire please touch person then communicate back encounter issues hesitate by accessing yours,Low,1-Minor,Incident_Type-2,Phone,Target-1
INC000014014566,2,prod_cat -1,Country-1,verification warning hi has got attached please addresses best regards monitoring analyst verification warning,Low,4-Minor,Incident_Type-2,Phone,Target-1
INC000013990245,5,prod_cat -3,Country-1,please dear looks blacklisted receiving mails anymore sample attached thanks kind regards senior engineer,Low,2-Minor,Incident_Type-1,Phone,Target-1
INC000013985646,4,prod_cat -5,Country-1,dear modules report report cost thank much regards,Low,1-Minor,Incident_Type-2,Phone,Target-1
INC000013948968,5,prod_cat -1,Country-1,please action reports dear way help close these maternity leave complete submit her left he technically left he client work after rd submit after delete period days two public holidays possible add thanks please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days,Low,3-Minor,Incident_Type-1,Phone,Target-1
INC000014070887,4,prod_cat -4,Country-1,hello please fill date,Low,4-Minor,Incident_Type-1,Phone,Target-2
INC000014066425,3,prod_cat -3,Country-1,secondary hi please provide secondary ledger users please provide existing roles assigned these users prod test please create thank kind regards analyst,Low,4-Minor,Incident_Type-2,Phone,Target-2
INC000014022241,3,prod_cat -2,Country-1,copy hi receive copy behavior expect receive myself thanks front developer,Low,3-Minor,Incident_Type-2,Phone,Target-2
INC000014014132,2,prod_cat -1,Country-2,invitation strategy workshop february manchester workshop forward colleague results campaign workshop reminder content workshop reminder ca cs dad ca trouble viewing view results campaign workshop reminder content workshop reminder cs dad ca assets images azure cs dad ca azure join cs dad ca manchester discuss journey unleash benefits powered by azure workshop control optimise strategy tickets cs dad ca february discussing best working opportunities digital give tools how embrace perfect environment wednesday february where sir busby way manchester further information found control optimise strategy tickets cs dad ca please note places join workshop manchester february control optimise strategy tickets cs dad ca make february workshop interest march where street campus birmingham join workshop birmingham control optimise strategy tickets cs dad ca assets images footer cs dad ca action campaign workshop reminder content workshop reminder ca cs dad ca road bb sr,Low,4-Minor,Incident_Type-1,Phone,Target-2
